,id,message,screen_name
0,1262765635744006144,"@veramagalhaes Apoio popular é o que não tem para o impeachment do BOLSONARO, muito pelo contrário, as únicas manifestações são a favor do governo.",joaopulbat
1,1262766716460859393,"RT @esquerdeando: Posso perdoar vários arrependidos. Mas a Amada, não tem como. Prejudicou o país deliberadamente, com conhecimento de caus…",Seoade
2,1262768118763569155,"RT @thescorpiao: Brasil indo receber a vacina contra covid-19: 
https://t.co/pEZDd1EHZC",anac_sacra
3,1262768379552600064,RT @RTweetSite: Governo empenhado para manter desigualdade educacional no país é esse o real motivo de não adiar o ENEM. Ignoram estudantes…,eibrunah
4,1262768437203525638,"@ClaudiaCores1 @marcofeliciano Eu não sei pra q o uso da cloroquina. Vcs amante de Bolsonaro, estão junto com ele contra o isolamento , pq dizem q não existe vírus é uma gripezinha e vcs estão querendo liberar  pra acabar com uma gripe ? É só usar dipirona. Se decidam , existe ou não o vírus?",AldelmirB
5,1262768611766218753,RT @moura_101: A melhor campanha eleitoral para o Jair Bolsonaro é deixar Felipe Neto e  Anitta falar.,willian85940614
6,1262768854008299520,RT @oteumestre: mão direita copo cheio é penálti senhor presidente,filipafialhoo
7,1262769013823647744,"RT @Fabricio_Rebelo: Anitta debatendo política, Felipe Neto no centro do Roda Viva ... Quem disse que o fundo do poço já tinha chegado?",_erickcacheffo
8,1262769159106166786,"RT @blogdojefferson: A conflagração entre estados e governo federal, nasceu de uma intervenção do STF na competência do PR sobre saúde. Dór…",bonita67391798
9,1262769796598378499,como que esse povo tem a CORAGEM de dizer que política não se discute?????????,badgalester
10,1262769864604880896,RT @tatikmd: tudo é político. todos somos políticos. a decisão de comentar algo publicamente é política. sua escolha de palavras é política…,Lilijuris
11,1262770126983749633,"RT @thescorpiao: Brasil indo receber a vacina contra covid-19: 
https://t.co/pEZDd1EHZC",Noismmy
12,1262770700789731329,RT @LuizCamargoVlog: O presidente bilionário do país mais poderoso do planeta está tomando hidroxicloroquina preventivamente porque caiu na…,Rafael_Facada
13,1262771744605122560,"RT @lsentoes1: A mídia e os isentobobos tentaram vender a narrativa de que Trump desistiu de recomendar o uso da cloroquina, mas o Presiden…",Pimpolha67
14,1262772433901228032,"RT @CarlosBolsonaro: A segunda onda, alertada pelo Presidente e causada por alguns governadores, vem destruindo o RJ  e o Brasil! Via @lean…",IuriMilder
15,1262772974366724096,"RT @folha: EXCLUSIVO FOLHA
Flávio Bolsonaro repassou R$ 500 mil do fundo público partidário a advogado investigado no caso Queiroz.
Victor…",kissedbythedust
16,1262773058978435073,RT @notmyprobllem: O clima de Manaus sempre foi um calor infernal mas desde que o covid surgiu por aqui dá pra contar nos dedos os dias de…,amandatmr1
17,1262773076917395456,"RT @Deusdamelanina: -Governo: no EAD os alunos terão mais mecanismos para pesquisa de suas dúvidas e contaram com o auxílio da internet
-Al…",ScentTree02
18,1262773376751460353,"RT @Fabricio_Rebelo: Anitta debatendo política, Felipe Neto no centro do Roda Viva ... Quem disse que o fundo do poço já tinha chegado?",JuarezS97670913
19,1262803311213842433,"RT @MarcosQuezado1: 📆 *Terça-feira, 19 de maio de 2020* 📆  

*Bolsonaro e Pazuello se encontram para discutir uso da cloroquina desde o iní…",lucianaleandrol
20,1262803310593138689,RT @UOLNoticias: Corte Interamericana acata denúncia contra governo Bolsonaro por insulto a vítimas da ditadura https://t.co/4QcLQowGP9,jackson_alencar
